year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,85,90,31,Allows too few students back on campus,Too many precautionary measures taken,60,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,4,Northeastern,
2022,No,No,Somewhat likely,Somewhat likely,No,Somewhat likely,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,50,50,20,Don't know enough to say,Too many precautionary measures taken,3,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,2,Princeton,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Research,60,65,40,Allows too few students back on campus,Just right,15,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,3,Stanford,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Family Home,,,77,83,12,Just right,Just right,2,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,8,Don't know enough to say,
2024,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,73,60,40,Allows too few students back on campus,Too many precautionary measures taken,20,Very well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,3,Duke,
2024,No,No,Somewhat unlikely,,,Somewhat likely,,Fall and Spring,Volunteering,90,95,30,Allows too few students back on campus,Too many precautionary measures taken,15,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Very well,Policy is not individualized enough,5,Cornell,
2024,No,No,Extremely likely,,,Extremely likely,,,,65,61,67,Just right,Don't know enough to say,48,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,4,Stanford,
2024,No,No,Extremely likely,,,Extremely likely,,,,85,78,61,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Cornell,
2024,No,No,Extremely likely,,,Extremely unlikely,,,,96,95,92,Don't know enough to say,Just right,90,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Policy is not individualized enough,3,Yale,
2021,No,Yes,Somewhat likely,Extremely unlikely,No,,Other,"Fall, and maybe Spring depending on policy",Internship/Industry Work,66,50,25,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,2,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,2,Yale,
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,75,80,40,Allows too few students back on campus,Don't know enough to say,60,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,4,Princeton,
2021,No,Yes,Somewhat likely,Extremely unlikely,No,,Family Home,,,50,50,50,Allows too few students back on campus,Just right,27,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Other (please specify),"Brown , Stanford, a lot "
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,60,30,Don't know enough to say,Don't know enough to say,80,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2022,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,75,60,53,Allows too few students back on campus,Just right,60,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,Yale,
2021,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,80,60,40,Just right,Don't know enough to say,25,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,7,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,,,82,90,50,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,30,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,60,76,Just right,Don't know enough to say,8,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very well,Policy is not individualized enough,8,Don't know enough to say,
2023,Yes,No,Somewhat likely,Somewhat unlikely,No,,Living with Harvard friends,Fall only,Internship/Industry Work,44,62,30,Allows too few students back on campus,Too many precautionary measures taken,19,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Cornell,
2022,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,70,55,20,Don't know enough to say,Don't know enough to say,10,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat well,Somewhat well,Agree with the policy,8,Don't know enough to say,
2024,No,Yes,Somewhat unlikely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Travel,45,70,90,Allows too few students back on campus,Too many precautionary measures taken,7,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Agree with the policy,3,Yale,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Other,75,85,45,Allows too few students back on campus,Just right,25,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Yale,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Chill at home,90,79,29,Don't know enough to say,Don't know enough to say,22,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Don't know enough to say,
2021,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,Fall only,Internship/Industry Work,70,85,25,Just right,Just right,30,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,,8,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,72,82,34,Allows too few students back on campus,Just right,16,Very well,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Dartmouth,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,75,85,40,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Cornell,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,30,20,10,Don't know enough to say,Don't know enough to say,50,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,3,Princeton,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Research,70,65,40,Allows too few students back on campus,Just right,15,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Princeton,
2024,No,No,Extremely likely,,,Extremely likely,,,,60,80,40,Just right,Too many precautionary measures taken,10,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2024,Yes,No,Extremely likely,,,Somewhat unlikely,,,,80,80,40,Just right,Don't know enough to say,10,Very well,Very well,Very well,Somewhat well,Somewhat well,Very well,Agree with the policy,9,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,71,90,26,Just right,Just right,10,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very well,,9,Don't know enough to say,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Chill at home,73,41,45,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,93,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,6,Duke,
2024,No,No,Extremely likely,,,Extremely likely,,,,61,75,40,Allows too few students back on campus,Too many precautionary measures taken,30,Very well,Very well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,9,Don't know enough to say,
2022,No,Yes,Extremely likely,Somewhat unlikely,No,,Personal Apartment/Home (not with Harvard friends),,,90,85,38,Just right,Just right,2,Somewhat well,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,10,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,65,85,39,Allows too few students back on campus,Just right,25,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,5,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,60,70,40,Just right,Just right,40,Somewhat well,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,7,Don't know enough to say,
2024,Yes,Yes,Somewhat unlikely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,74,36,"Number is just right, but it should be a different cohort in the Fall",Just right,1,Somewhat poorly ,Somewhat well,Somewhat well,Very well,Somewhat well,Somewhat poorly ,Agree with the policy,8,Cornell,
2021,No,No,Extremely likely,Somewhat likely,Yes,Somewhat likely,Family Home,,,70,60,35,Allows too few students back on campus,Don't know enough to say,30,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,6,Don't know enough to say,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,50,60,19,"Number is just right, but it should be a different cohort in the Fall",Too few precautionary measures taken,70,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,4,MIT,
2021,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,75,95,39,Just right,Just right,5,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,75,92,40,Don't know enough to say,Don't know enough to say,65,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Policy is not individualized enough,10,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,75,90,40,Allows too few students back on campus,Don't know enough to say,10,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,7,Northeastern,
2021,No,No,Somewhat likely,Extremely unlikely,Yes,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,40,33,70,Allows too few students back on campus,Don't know enough to say,50,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,2,Other (please specify),Brown
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,70,50,Allows too many students back on campus,Don't know enough to say,25,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,7,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,50,60,90,Allows too few students back on campus,Just right,0,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,85,80,40,Don't know enough to say,Just right,20,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Very well,Not enough money provided to off-campus students,8,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,70,60,30,Allows too few students back on campus,Don't know enough to say,15,Very well,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very well,Policy is not individualized enough,6,Princeton,
2021,No,Yes,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,85,90,30,Allows too few students back on campus,Don't know enough to say,20,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,5,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,80,35,Don't know enough to say,Too many precautionary measures taken,5,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,80,60,36,Just right,Just right,30,Very well,Somewhat well,Somewhat well,Somewhat well,Somewhat well,Very well,Agree with the policy,8,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,40,39,33,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,3,Don't know enough to say,
2021,No,Prefer not to say,Somewhat unlikely,Somewhat unlikely,No,,Living with Harvard friends,Fall only,Research,60,65,36,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,77,89,50,Just right,Just right,17,Very well,Very well,Somewhat well,Somewhat poorly ,Somewhat well,Very well,Agree with the policy,9,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Somewhat likely,,,,80,80,50,Just right,Just right,50,Very well,Somewhat well,Somewhat well,Very well,Very well,Very well,Agree with the policy,7,Other (please specify),Tufts
2024,No,Yes,Extremely likely,,,Extremely likely,,,,27,90,23,Don't know enough to say,Don't know enough to say,2,Very well,Very well,Somewhat well,Somewhat well,Somewhat poorly ,Very well,Agree with the policy,9,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,80,75,35,Allows too few students back on campus,Just right,25,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,77,77,50,Allows too few students back on campus,Too many precautionary measures taken,20,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,6,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,80,73,45,Just right,Don't know enough to say,15,Very poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Very well,Agree with the policy,7,Don't know enough to say,
2021,Yes,Yes,Somewhat unlikely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,Fall and Spring,Internship/Industry Work,60,70,35,Allows too few students back on campus,Too many precautionary measures taken,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Princeton,
2024,No,No,Extremely likely,,,Extremely likely,,,,93,85,37,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,7,Cornell,
2021,No,No,Extremely unlikely,,,,,Fall and Spring,Other,68,75,65,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,75,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Other (please specify),Penn
2023,No,Yes,Extremely likely,Somewhat unlikely,No,,Living with Harvard friends,,,70,70,20,Allows too few students back on campus,Don't know enough to say,1,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,4,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,72,94,30,Allows too few students back on campus,Just right,4,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Somewhat well,Policy is not individualized enough,4,Other (please specify),"Syracuse University, University at Buffalo, University of Vermont (all of the student body going back)"
2022,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,65,60,40,Just right,Too few precautionary measures taken,8,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,7,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat likely,No,Somewhat unlikely,Living with Harvard friends,,,70,80,40,Don't know enough to say,Just right,15,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very well,Policy is not individualized enough,7,Don't know enough to say,
2024,No,No,Extremely likely,,,Extremely likely,,,,71,93,49,Allows too few students back on campus,Just right,35,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat well,Very well,Policy is not individualized enough,8,Cornell,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,40,85,75,Don't know enough to say,Just right,5,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,7,Don't know enough to say,
2021,Yes,Yes,Somewhat unlikely,Somewhat unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,72,41,58,Don't know enough to say,Don't know enough to say,5,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat poorly ,Agree with the policy,9,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,65,72,67,Allows too few students back on campus,Too many precautionary measures taken,8,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Policy is not individualized enough,5,Yale,
2024,No,No,Extremely likely,,,Extremely likely,,,,75,85,33,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,,6,Yale,
2023,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,60,40,30,Just right,Too many precautionary measures taken,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,3,Princeton,
2024,No,Yes,Extremely likely,,,Extremely unlikely,,,,87,95,35,Allows too many students back on campus,Too many precautionary measures taken,40,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Don't know enough to say,
2023,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,62,46,34,Allows too few students back on campus,Too many precautionary measures taken,12,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Yale,
2021,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,70,80,35,Don't know enough to say,Don't know enough to say,30,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",6,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,80,50,Just right,Too many precautionary measures taken,33,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Agree with the policy,7,Don't know enough to say,
2024,No,No,Extremely likely,,,Somewhat likely,,,,25,50,20,Allows too few students back on campus,Too many precautionary measures taken,15,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,3,Princeton,
2021,No,Yes,Extremely likely,Somewhat likely,No,Extremely unlikely,Living with Harvard friends,,,75,90,40,Just right,Too many precautionary measures taken,5,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough,Agree with the policy",5,Don't know enough to say,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Other,,,92,86,30,Don't know enough to say,Don't know enough to say,25,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,50,30,Just right,Just right,15,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very well,Agree with the policy,8,Other (please specify),Brown
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,81,62,41,Don't know enough to say,Don't know enough to say,50,Somewhat well,,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Not enough money provided to off-campus students,6,Yale,
2022,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Research,80,81,30,Allows too few students back on campus,Too many precautionary measures taken,40,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Policy is not individualized enough,3,Yale,
2023,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,90,75,35,Just right,Don't know enough to say,5,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,8,,
2023,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,Fall and Spring,Internship/Industry Work,67,60,41,Don't know enough to say,Don't know enough to say,20,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,80,65,38,Don't know enough to say,Don't know enough to say,15,Very well,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,4,Don't know enough to say,
2022,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,51,36,30,Allows too few students back on campus,Too many precautionary measures taken,5,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,,2,Don't know enough to say,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,60,30,40,Allows too few students back on campus,Too few precautionary measures taken,35,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,"Policy is not individualized enough,Agree with the policy",6,Yale,
2021,No,Yes,Somewhat likely,Somewhat unlikely,No,,Family Home,Fall only,Internship/Industry Work,60,60,50,Allows too few students back on campus,Just right,25,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Don't know enough to say,
2024,No,No,Somewhat likely,,,Extremely likely,,Fall and Spring,Volunteering,90,75,40,Just right,Too many precautionary measures taken,1,Somewhat well,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,Very well,Agree with the policy,6,Don't know enough to say,
2024,No,No,Somewhat likely,,,Somewhat likely,,Fall and Spring,Travel,92,81,40,Allows too few students back on campus,Too many precautionary measures taken,8,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,3,Cornell,
2024,No,No,Extremely likely,,,Extremely likely,,,,90,60,41,Don't know enough to say,Too many precautionary measures taken,5,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Don't know enough to say,
2021,No,Yes,Somewhat unlikely,Somewhat unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Travel,75,60,50,"Number is just right, but it should be a different cohort in the Fall",Don't know enough to say,25,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Other (please specify),Brown
2023,Yes,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,60,60,40,Don't know enough to say,Don't know enough to say,50,,,,,,,Not enough money provided to off-campus students,5,Don't know enough to say,
2024,Yes,Yes,Somewhat likely,,,Somewhat unlikely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,81,62,50,Just right,Just right,13,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2024,No,No,Somewhat likely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,65,65,15,Allows too few students back on campus,Too few precautionary measures taken,1,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,1,Cornell,
2024,No,No,Extremely likely,,,Extremely likely,,,,50,95,95,Allows too few students back on campus,Too many precautionary measures taken,100,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,3,Cornell,
2024,No,No,Somewhat unlikely,,,Somewhat unlikely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,80,80,Just right,Too many precautionary measures taken,0,Very well,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,Other (please specify),"Depends upon on-campus restrictions, which are as yet undetermined."
2022,No,Yes,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,60,50,40,"Number is just right, but it should be a different cohort in the Fall",Just right,40,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Very poorly ,Very well,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Somewhat likely,,,,48,61,74,Allows too many students back on campus,Don't know enough to say,15,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Don't know enough to say,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,85,85,30,Allows too few students back on campus,Just right,25,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Agree with the policy",7,Stanford,
2024,No,No,Extremely likely,,,Extremely likely,,,,80,90,48,Just right,Too many precautionary measures taken,20,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,,,Princeton,
2024,No,No,Extremely likely,,,Extremely likely,,,,81,84,50,Allows too few students back on campus,Just right,30,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,5,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,85,39,Allows too few students back on campus,Too many precautionary measures taken,6,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Not enough money provided to off-campus students,7,Other (please specify),UVA
2024,No,Yes,Extremely likely,,,Extremely likely,,,,82,90,40,Just right,Just right,20,Somewhat well,Very well,Very well,Somewhat well,Very well,Very well,Agree with the policy,9,Don't know enough to say,
